Word,Input,Phon_numb,unsDENS,unsBPAV,unsTPAV,unsPOSPAV,unsLCPOSPAV
again,AH.G.EH.N,4,2,0.00295,1.45E-05,0.0308176,0.0205078
all done,AO.L.D.AH.N,5,2,0.0087996,0.0002094,0.057797,0.0636992
all gone,AO.L.G.AO.N,5,0,0.0006146,8.50E-06,0.030976,0.032359
apple,AE.P.AH.L,4,7,0.0072721,0.0002596,0.0313859,0.0229492
asleep,AH.S.L.IY.P,5,1,0.0047502,0.000189,0.0367979,0.0354397
aunt,AE.N.T,3,24,0.0088252,0.0005737,0.0501812,0.0366316
avocado,AE.V.AH.K.AA.D.OW,7,1,0.0018325,6.47E-05,0.0280363,0.0265406
baa baa,B.AH.B.AH,4,3,0.0043262,0.0004834,0.0720007,0.0514027
baba,B.AH.B.AH,4,3,0.0043262,0.0004834,0.0720007,0.0514027
baby,B.EY.B.IY,4,10,0.000655,3.06E-05,0.03832,0.0661399
bad dog,B.AE.D.D.AO.G,6,0,0.0006674,1.36E-05,0.0375764,0.0419893
badger,B.AE.JH.ER,4,9,0.0007988,1.53E-05,0.0495351,0.0702681
bah,B.AH,2,33,0.0043272,0,0.0693626,0.0264901
ball,B.AO.L,3,38,0.0009902,0.0001226,0.0532451,0.0625965
balloon,B.AH.L.UW.N,5,7,0.0060819,0.0005657,0.0580359,0.0612978
banana,B.AH.N.AE.N.AH,6,2,0.0092523,0.0002004,0.0717523,0.0587123
bandit,B.AE.N.D.AH.T,6,2,0.0056372,0.0004549,0.0773298,0.0890137
bang,B.AE.NG,3,35,0.0013457,6.47E-05,0.0460795,0.0602105
bath,B.AE.TH,3,25,0.0008831,1.70E-05,0.0438584,0.0575439
bathroom,B.AE.TH.R.UW.M,5,2,0.000966,4.25E-05,0.0358594,0.0390446
bay,B.EY,2,42,0.0005525,0,0.0432048,0.0480132
bear,B.EH.R,3,35,0.0028217,0.0001787,0.0680243,0.0565614
bed,B.EH.D,3,40,0.0013736,6.64E-05,0.0556786,0.066386
bee,B.IY,2,47,0.0009747,0,0.0544194,0.0496689
beer,B.IH.R,3,37,0.0019168,2.38E-05,0.0788903,0.0647018
bike,B.AY.K,3,33,0.0006721,1.87E-05,0.0494305,0.0655439
bird,B.ER.D,3,35,0.0017104,0.0001038,0.0429726,0.0610526
bite,B.AY.T,3,37,0.0011423,2.72E-05,0.0514373,0.0687719
blanket,B.L.AE.NG.K.AH.T,7,3,0.0038833,0.0001832,0.055478,0.0635504
block,B.L.AA.K,4,16,0.0016369,9.62E-05,0.0416243,0.0480291
blue,B.L.UW,3,15,0.0015878,5.79E-05,0.0396525,0.0362105
bob,B.AA.B,3,34,0.0008614,2.21E-05,0.0482921,0.0527719
bones,B.OW.N.Z,4,28,0.0022588,7.24E-05,0.0504571,0.0884677
boo,B.UW,2,41,0.0002887,0,0.0405706,0.0480132
boo boo,B.UW.B.UW,4,4,0.0002877,2.60E-06,0.0290513,0.036843
boob,B.UW.B,3,19,0.0002871,5.10E-06,0.0354053,0.0502456
booboo,B.UW.B.UW,4,4,0.0002877,2.60E-06,0.0290513,0.036843
book,B.UH.K,3,28,0.0004579,0.0001158,0.0410696,0.0506667
boom,B.UW.M,3,28,0.0006736,1.36E-05,0.0428283,0.0571228
bottle,B.AA.T.AH.L,5,9,0.0070178,0.0003132,0.0739839,0.0809945
bow,B.AW,2,29,0.0002266,0,0.0347406,0.0397351
bow wow,B.AW.W.AW,4,1,9.31E-05,1.70E-06,0.0196593,0.0250799
bowl,B.OW.L,3,39,0.0011749,6.81E-05,0.0522831,0.0661053
