date,number_kids,guardian_ed,birth_order,gender,word_original,word_standard,cdi_cat,word_validation,subject,addressee,age,age_current,lang,home_lang
10/13/14,2,Some college,1,Female,Abba,Abba,People,Dada,Person,To her grandmother,8,9,Spanish,English
10/7/14,1,Some college,1,Male,Ade,Ade,People,Check,Person,Me,6,3,English,English
10/9/14,1,Graduate degree,1,Female,Again,Again,Time,Mama,Person,Mother,10,4,English,English
10/14/14,3,Graduate degree,1,Male,Akoo,Akoo,N/A,Check,Food and Drink,mom and dad,11,18,English,Spanish
10/6/14,2,Graduate degree,2,Female,Akuu,Aku,N/A,Check,Toy,to a toy,3,2,Hindi,Hindi
10/1/14,3,Some high school,3,Female,Allah,Allah,People,Check,Other object,god,5,5,Arabic,English
9/30/14,1,Graduate degree,1,Female,Anna,Anna,People,Dada,Food and Drink,food,6,2,hindi,Hindi
9/30/14,2,Some high school,1,Male,Api,Api,People,Check,Person,Dad,16,14,Spanish,Spanish
9/22/14,1,College,1,Female,Apple,Apple,Food and Drink,Mama,Food and Drink,mother,16,2,English,English
9/23/14,2,High school,2,Male,Apple,Apple,Food and Drink,Mama,Food and Drink,Mom,12,12,English,English
9/24/14,1,Some college,1,Female,Apples,Apple,Food and Drink,Check,Food and Drink,To Mom at breakfast time,11,2,English,English
9/24/14,1,Graduate degree,1,Female,Apple,Apple,Food and Drink,Mama,Food and Drink,mommy,18,7,English,English
9/24/14,2,Some college,1,Male,Apple,Apple,Food and Drink,Dada,Food and Drink,Father,18,7,English,English
9/26/14,1,College,1,Male,Apple,Apple,Food and Drink,Mama,Person,Mother,7,11,English,English
9/29/14,2,College,1,Female,Apple,Apple,Food and Drink,Mama,Food and Drink,Kind of to herself. ,14,18,English,English
9/29/14,1,High school,1,Male,Apple,Apple,Food and Drink,Mama,Food and Drink,mom,15,12,English,English
9/30/14,2,High school,1,Male,Apple,Apple,Food and Drink,Dada,Food and Drink,No one,6,11,English,English
10/3/14,2,High school,2,Female,Apple,Apple,Food and Drink,Check,Food and Drink,me,17,10,English,English
10/4/14,1,Some college,1,Female,Apple,Apple,Food and Drink,Check,Food and Drink,mom,NA,5,English,English
10/5/14,3,Some college,1,Female,Apple,Apple,Food and Drink,Dada,Food and Drink,Mom,10,12,English,English
10/8/14,2,Some college,1,Female,Apple,Apple,Food and Drink,Check,Food and Drink,my wife,8,18,English,English
10/9/14,1,High school,1,Female,Apple,Apple,Food and Drink,Dada,Food and Drink,Mother,6,13,English,Spanish
10/11/14,1,High school,1,Male,Apple,Apple,Food and Drink,Check,Food and Drink,Mom,6,3,English,English
10/13/14,1,Graduate degree,1,Male,Apple,Apple,Food and Drink,Check,Food and Drink,Mom,7,5,English,French
9/30/14,3,High school,2,Female,Auntie,Aunt,People,Check,Other object,her aunt my sister,19,5,English,English
10/12/14,1,College,1,Female,Auntie,Aunt,People,Dada,Person,Her Auntee,4,3,English,English
10/13/14,2,College,2,Female,Tante,Aunt,People,Dada,Person,aunt,13,2,English,English
10/14/14,2,Graduate degree,1,Male,Aurora,Aurora,Outside Things,Mama,Other object,Sky,24,7,English,English
9/24/14,2,College,2,Female,Ayay,Ayay,People,Mama,Person,Aunt,10,6,English,English
10/7/14,2,College,1,Female,Ba,Ba,Animals,Mama,Animal,parents,12,14,English,English
9/29/14,3,College,1,Female,Ba,Ba,Food and Drink,Mama,Food and Drink,no one,11,11,English,English
10/3/14,1,Graduate degree,1,Female,Ba,Ba,People,Dada,Person,dad,8,9,chinese,chinese
10/11/14,2,College,1,Female,BaBa,Baba,Food and Drink,Dada,Food and Drink,mom,7,4,English,English
10/15/14,3,Graduate degree,1,Female,BaBa,Baba,Food and Drink,Dada,Food and Drink,mom or dad,9,7,English,English
9/22/14,1,College,1,Female,Baba,Baba,Food and Drink,Check,Food and Drink,me,6,2,English,English
9/22/14,2,High school,2,Male,Baba,Baba,Food and Drink,Dada,Food and Drink,No one,5,7,English,English
9/22/14,3,Graduate degree,3,Female,Baba,Baba,Food and Drink,Dada,Food and Drink,to mother,7,18,English,English
9/30/14,2,Some college,1,Female,Baabaa,Baba,Food and Drink,Mama,Food and Drink,mother,13,7,English,English
9/30/14,2,Some college,2,Female,Baabaa,Baba,Food and Drink,Check,Food and Drink,mother,16,5,English,English
9/30/14,1,High school,1,Female,Baba,Baba,Food and Drink,Mama,Food and Drink,mother,4,8,English,English
10/1/14,4,High school,3,Male,Baba,Baba,Food and Drink,Mama,Food and Drink,mom,11,17,English,English
10/1/14,2,Some graduate school,1,Male,Baba,Baba,Food and Drink,Mama,Food and Drink,Mom,8,18,English,English
10/1/14,1,Some college,1,Male,Baba,Baba,Food and Drink,Dada,Food and Drink,Mom,9,12,English,English
10/3/14,3,High school,1,Male,Baba,Baba,Food and Drink,Mama,Food and Drink,no one,12,4,English,English
10/3/14,2,Some college,1,Female,Baba,Baba,Food and Drink,Check,Food and Drink,mother or dad,8,11,English,English
10/6/14,1,Graduate degree,1,Female,Baba,Baba,Food and Drink,Check,Food and Drink,Everyone,8,1,English,English
10/6/14,2,College,1,Male,Baba,Baba,Food and Drink,Mama,Food and Drink,anyone,10,7,English,English
10/11/14,2,High school,1,Male,Baba,Baba,Food and Drink,Check,Food and Drink,myself,7,18,English,English
10/12/14,2,Some college,1,Male,Baba,Baba,Food and Drink,Check,Food and Drink,Father,11,8,English,English
10/13/14,1,College,1,Female,Baba,Baba,Food and Drink,Check,Food and Drink,Anyone,NA,9,English,English
10/14/14,3,Some college,1,Female,Baba,Baba,Food and Drink,Check,Food and Drink,no one in particular,7,15,English,English
10/15/14,2,Some college,2,Male,Baba,Baba,Food and Drink,Check,Food and Drink,dad,11,2,English,English
9/24/14,1,College,1,Male,Baba,Baba,N/A,Check,Other object,mom,20,6,English,English
10/6/14,2,College,2,Male,Baba,Baba,N/A,Mama,Action Word,dad,11,2,Hindi,English
9/24/14,4,Some college,2,Male,Baba,Baba,People,Mama,Person,himself,7,18,English,English
9/25/14,2,Graduate degree,2,Male,Baba,Baba,People,Dada,Person,father,6,2,English,English
9/29/14,2,Some college,1,Female,Baba,Baba,People,Dada,Person,to dad,6,14,English,English
10/1/14,2,High school,2,Male,Baba,Baba,People,Check,Person,To my father-in-law,7,7,English,Punjabi
10/3/14,3,Some college,3,Female,Baba,Baba,People,Dada,Person,father,9,2,urdu,English
