date,time,word_original,word_standard,cdi_cat,subject,age,age_current,gender
6/11/14,11:09,Catch,Catch,Action,action,10,0to3y,Male
6/11/14,10:28,Down,Down,Action,action,10,0to3y,Male
6/11/14,11:51,Go,Go,Action,action,10,4to6y,Male
6/11/14,16:21,Go,Go,Action,action,12,0to3y,Male
6/11/14,23:00,Go,Go,Action,animaletc,10,4to6y,Female
6/11/14,10:31,Help,Help,Action,action,11,13plusy,Male
6/11/14,20:57,Mas,More,Action,other,14,4to6y,Male
6/11/14,10:31,More,More,Action,animaletc,14,4to6y,Female
6/11/14,11:26,More,More,Action,action,10,4to6y,Female
6/11/14,8:39,More,More,Action,other,10,0to3y,Male
6/11/14,12:04,More,More,Action,animaletc,NA,0to3y,Female
6/11/14,13:35,More,More,Action,animaletc,10,0to3y,Male
6/11/14,21:45,More,More,Action,animaletc,12,0to3y,Female
6/13/14,7:45,More,More,Action,animaletc,10,7to12y,Male
6/15/14,12:16,More,More,Action,action,NA,13plusy,Female
6/11/14,21:39,More,More,Action,action,12,0to3y,Male
6/11/14,13:50,Side,Side,Action,action,10,0to3y,Male
6/13/14,16:45,Tickle,Tickle,Action,action,12,0to3y,Male
6/11/14,10:31,Touch,Touch,Action,action,10,0to3y,Male
6/12/14,1:24,Touchdown,Touchdown,Action,,10,7to12y,Male
6/11/14,10:00,Up,Up,Action,action,11,13plusy,Female
6/11/14,10:30,Up,Up,Action,action,11,0to3y,Male
6/11/14,10:38,Up,Up,Action,action,10,4to6y,Male
6/11/14,11:01,Up,Up,Action,action,10,4to6y,Female
6/11/14,11:12,Up,Up,Action,action,12,0to3y,Male
6/11/14,12:14,Up,Up,Action,action,13,0to3y,Male
6/11/14,12:32,Up,Up,Action,action,14,7to12y,Male
6/11/14,13:07,Up,Up,Action,action,10,4to6y,Female
6/11/14,21:51,Up,Up,Action,action,10,4to6y,Female
6/16/14,17:10,Up,Up,Action,action,10,0to3y,Male
6/11/14,11:04,Want,Want,Action,action,14,0to3y,Male
6/11/14,14:02,Asterix,Asterix,Animals,animaletc,12,0to3y,Female
6/11/14,21:00,Bear,Bear,Animals,animaletc,11,4to6y,Female
6/11/14,10:47,Bird,Bird,Animals,animaletc,13,7to12y,Male
6/11/14,12:41,Bird,Bird,Animals,animaletc,10,0to3y,Female
6/11/14,13:46,Bird,Bird,Animals,animaletc,14,4to6y,Female
6/11/14,17:15,Bird,Bird,Animals,animaletc,14,0to3y,Male
6/11/14,18:36,Bird,Bird,Animals,animaletc,10,4to6y,Female
6/11/14,21:31,Bird,Bird,Animals,animaletc,10,7to12y,Male
6/11/14,21:52,Bird,Bird,Animals,,10,0to3y,Female
6/11/14,10:35,Bird,Bird,Animals,animaletc,11,0to3y,Male
6/11/14,10:37,Bird,Bird,Animals,animaletc,10,7to12y,Male
6/11/14,10:28,Cat,Cat,Animals,animaletc,10,7to12y,Female
6/11/14,10:35,Cat,Cat,Animals,animaletc,12,7to12y,Male
6/11/14,11:27,Cat,Cat,Animals,animaletc,12,4to6y,Female
6/11/14,11:32,Cat,Cat,Animals,animaletc,11,0to3y,Male
6/11/14,12:59,Cat,Cat,Animals,animaletc,10,4to6y,Female
6/11/14,13:18,Cat,Cat,Animals,animaletc,10,0to3y,Female
6/11/14,13:33,Cat,Cat,Animals,animaletc,NA,0to3y,Male
6/11/14,14:13,Cat,Cat,Animals,animaletc,14,0to3y,Female
6/11/14,20:13,Cat,Cat,Animals,animaletc,12,0to3y,Male
6/11/14,21:22,Cat,Cat,Animals,animaletc,10,13plusy,Male
6/12/14,9:23,Cat,Cat,Animals,animaletc,NA,0to3y,Male
6/12/14,21:38,Cat,Cat,Animals,animaletc,10,7to12y,Female
6/11/14,14:07,Cow,Cow,Animals,animaletc,10,4to6y,Male
6/11/14,10:25,Dog,Dog,Animals,animaletc,10,4to6y,Female
6/11/14,10:27,Doggie,Dog,Animals,animaletc,10,4to6y,Male
6/11/14,10:29,Dog,Dog,Animals,animaletc,10,0to3y,Male
6/11/14,10:31,Dog,Dog,Animals,animaletc,10,0to3y,Female
6/11/14,10:32,Dog,Dog,Animals,animaletc,11,0to3y,Male
6/11/14,10:42,Dog,Dog,Animals,animaletc,10,0to3y,Male
6/11/14,10:42,Dog Dog,Dog,Animals,animaletc,10,0to3y,Male
6/11/14,11:10,Dog,Dog,Animals,animaletc,10,0to3y,Female
6/11/14,11:18,Dog,Dog,Animals,animaletc,12,0to3y,Female
6/11/14,11:12,Dog,Dog,Animals,animaletc,10,0to3y,Male
6/11/14,11:26,Dog,Dog,Animals,animaletc,10,0to3y,Female
6/11/14,11:37,Dog,Dog,Animals,animaletc,11,0to3y,Male
6/11/14,11:47,Dog,Dog,Animals,animaletc,NA,0to3y,Male
6/11/14,11:59,Dog,Dog,Animals,animaletc,14,7to12y,Female
6/11/14,12:25,Dog,Dog,Animals,animaletc,10,4to6y,Female
6/11/14,12:36,Dog,Dog,Animals,animaletc,10,0to3y,Male
6/11/14,13:26,Doggie,Dog,Animals,animaletc,10,7to12y,Female
6/11/14,13:40,Dog,Dog,Animals,animaletc,12,4to6y,
6/11/14,14:24,Doggy,Dog,Animals,animaletc,NA,4to6y,Male
6/11/14,14:28,Dog,Dog,Animals,animaletc,10,0to3y,Female
6/11/14,16:47,Dog,Dog,Animals,animaletc,10,0to3y,Male
6/11/14,19:26,Dog,Dog,Animals,animaletc,10,0to3y,Female
6/11/14,20:03,Doggie,Dog,Animals,animaletc,11,4to6y,Female
6/11/14,20:58,Dog,Dog,Animals,animaletc,11,0to3y,Female
6/12/14,7:04,Dog,Dog,Animals,animaletc,10,0to3y,Male
6/13/14,11:15,Dog,Dog,Animals,animaletc,11,0to3y,Male
6/15/14,22:23,Dog,Dog,Animals,animaletc,13,4to6y,Male
6/19/14,21:40,Dog,Dog,Animals,animaletc,11,4to6y,Female
6/11/14,11:55,Oggy,Dog,Animals,animaletc,11,0to3y,Male
6/11/14,10:39,Duck,Duck,Animals,animaletc,10,7to12y,Female
6/11/14,10:55,Duck,Duck,Animals,animaletc,11,7to12y,Female
6/11/14,11:20,Duck,Duck,Animals,animaletc,10,0to3y,Female
6/11/14,11:44,Duck,Duck,Animals,animaletc,NA,4to6y,Female
6/11/14,12:58,Duck,Duck,Animals,animaletc,10,0to3y,Female
6/11/14,13:00,Duck,Duck,Animals,animaletc,10,4to6y,Female
6/11/14,14:25,Duck,Duck,Animals,animaletc,10,7to12y,Female
6/11/14,16:49,Duck,Duck,Animals,animaletc,10,7to12y,Female
6/11/14,20:19,Duck,Duck,Animals,,,13plusy,Male
6/11/14,21:05,Duck,Duck,Animals,animaletc,10,4to6y,Female
6/11/14,21:08,Duck,Duck,Animals,animaletc,10,0to3y,Female
