"","x"
"1","baa baa"
"2","choo choo"
"3","cockadoodledoo"
"4","grr"
"5","meow"
"6","moo"
"7","ouch"
"8","quack quack"
"9","uh oh"
"10","vroom"
"11","woof woof"
"12","yum yum"
"13","animal"
"14","bear"
"15","bee"
"16","bird"
"17","bug"
"18","bunny"
"19","butterfly"
"20","cat"
"21","chicken"
"22","cow"
"23","deer"
"24","dog"
"25","donkey"
"26","duck"
"27","elephant"
"28","fish"
"29","frog"
"30","giraffe"
"31","goose"
"32","horse"
"33","kitty"
"34","lamb"
"35","lion"
"36","monkey"
"37","mouse"
"38","owl"
"39","penguin"
"40","pig"
"41","pony"
"42","puppy"
"43","sheep"
"44","squirrel"
"45","teddy bear"
"46","tiger"
"47","turkey"
"48","turtle"
"49","airplane"
"50","bicycle"
"51","bus"
"52","car"
"53","fire truck"
"54","motorcycle"
"55","stroller"
"56","train"
"57","truck"
"58","ball"
"59","balloon"
"60","block"
"61","book"
"62","bubbles"
"63","doll"
"64","pen"
"65","toy"
"66","apple"
"67","banana"
"68","bread"
"69","butter"
"70","cake"
"71","candy"
"72","carrots"
"73","cereal"
"74","cheerios"
"75","cheese"
"76","coffee"
"77","cookie"
"78","cracker"
"79","drink"
"80","egg"
"81","food"
"82","ice cream"
"83","juice"
"84","meat"
"85","milk"
"86","noodles"
"87","orange"
"88","peas"
"89","pizza"
"90","raisin"
"91","spaghetti"
"92","toast"
"93","water"
"94","beads"
"95","bib"
"96","boots"
"97","button"
"98","coat"
"99","diaper"
"100","dress"
"101","hat"
"102","jacket"
"103","jeans"
"104","necklace"
"105","pajamas"
"106","pants"
"107","shirt"
"108","shoe"
"109","shorts"
"110","sock"
"111","sweater"
"112","zipper"
"113","arm"
"114","belly button"
"115","cheek"
"116","ear"
"117","eye"
"118","face"
"119","foot"
"120","finger"
"121","hair"
"122","hand"
"123","head"
"124","knee"
"125","leg"
"126","mouth"
"127","nose"
"128","owie"
"129","tooth"
"130","toe"
"131","tongue"
"132","tummy"
"133","bathroom"
"134","bath tub"
"135","bed"
"136","bedroom"
"137","chair"
"138","couch"
"139","crib"
"140","door"
"141","drawer"
"142","garage"
"143","highchair"
"144","kitchen"
"145","livingroom"
"146","oven"
"147","playpen"
"148","potty"
"149","refrigerator"
"150","rocking chair"
"151","sink"
"152","stairs"
"153","stove"
"154","table"
"155","tv"
"156","window"
"157","blanket"
"158","bottle"
"159","bowl"
"160","box"
"161","broom"
"162","brush"
"163","clock"
"164","comb"
"165","cup"
"166","dish"
"167","fork"
"168","glass"
"169","glasses"
"170","hammer"
"171","keys"
"172","lamp"
"173","light"
"174","medicine"
"175","money"
"176","paper"
"177","penny"
"178","picture"
"179","pillow"
"180","plant"
"181","plate"
"182","purse"
"183","radio"
"184","scissors"
"185","soap"
"186","spoon"
"187","telephone"
"188","toothbrush"
"189","towel"
"190","trash"
"191","vacuum"
"192","watch"
"193","backyard"
"194","beach"
"195","church"
"196","flower"
"197","garden"
"198","home"
"199","house"
"200","moon"
"201","outside"
"202","park"
"203","party"
"204","pool"
"205","rain"
"206","rock"
"207","school"
"208","shovel"
"209","sky"
"210","slide"
"211","snow"
"212","star"
"213","store"
"214","sun"
"215","swing"
"216","tree"
"217","work"
"218","zoo"
"219","aunt"
"220","baby"
"221","baby sitter"
"222","baby sitter's name"
"223","boy"
"224","brother"
"225","child"
"226","daddy"
"227","girl"
"228","grandma"
"229","grandpa"
"230","lady"
"231","man"
"232","mommy"
"233","own name"
"234","people"
"235","person"
"236","sister"
"237","teacher"
"238","uncle"
"239","bath"
"240","breakfast"
"241","bye"
"242","dinner"
"243","don't"
"244","hello"
"245","hi"
"246","lunch"
"247","nap"
"248","night night"
"249","no"
"250","pattycake"
"251","peekabo"
"252","please"
"253","shh"
"254","thank you"
"255","wait"
"256","wanna"
"257","yes"
"258","bite"
"259","blow"
"260","break"
"261","bring"
"262","bump"
"263","clean"
"264","close"
"265","cry"
"266","dance"
"267","draw"
"268","drive"
"269","eat"
"270","fall"
"271","feed"
"272","finish"
"273","get"
"274","give"
"275","go"
"276","help"
"277","hit"
"278","hug"
"279","hurry"
"280","jump"
"281","kick"
"282","kiss"
"283","look"
"284","love"
"285","open"
"286","play"
"287","pull"
"288","push"
"289","put"
"290","read"
"291","ride"
"292","run"
"293","say"
"294","see"
"295","show"
"296","sing"
"297","sleep"
"298","smile"
"299","splash"
"300","stop"
"301","swim"
"302","take"
"303","throw"
"304","tickle"
"305","touch"
"306","walk"
"307","wash"
"308","wipe"
"309","write"
"310","day"
"311","later"
"312","morning"
"313","night"
"314","now"
"315","today"
"316","tomorrow"
"317","tonight"
"318","all gone"
"319","asleep"
"320","bad"
"321","big"
"322","blue"
"323","broken"
"324","careful"
"325","cold"
"326","cute"
"327","dark"
"328","dirty"
"329","dry"
"330","empty"
"331","fast"
"332","fine"
"333","gentle"
"334","good"
"335","happy"
"336","hard"
"337","hot"
"338","hungry"
"339","hurt"
"340","little"
"341","naughty"
"342","nice"
"343","old"
"344","pretty"
"345","red"
"346","scared"
"347","sick"
"348","sleepy"
"349","soft"
"350","thirsty"
"351","tired"
"352","wet"
"353","yucky"
"354","her"
"355","his"
"356","I"
"357","it"
"358","me"
"359","mine"
"360","my"
"361","that"
"362","this"
"363","you"
"364","your"
"365","how"
"366","what"
"367","when"
"368","where"
"369","who"
"370","why"
"371","away"
"372","back"
"373","down"
"374","in"
"375","inside"
"376","off"
"377","on"
"378","out"
"379","there"
"380","under"
"381","up"
"382","all"
"383","another"
"384","more"
"385","none"
"386","not"
"387","other"
"388","same"
"389","some"
