,first_wd_original,first_wd_standard,cdi_cat
1,___Ü___ç,___Ü___ç,N/A
2,[aei],[aesel'] ,People
3,Aaji,Aaji,People
4,Abba,Abba,People
5,Abi,Abi,People
6,Abuca,Abuca,N/A
7,Ada,Ada,People
8,Ade,Ade,People
9,Adindaa,Adindaa,N/A
10,Again,Again,Time
11,Aj,Aj,People
12,Aja,Aja,N/A
13,Akoo,Akoo,N/A
14,Akuu,Aku,N/A
15,All Done,All Done,Games and Routines
16,a:da,All Gone,Games and Routines
17,Allah,Allah,People
18,Allah Akbar,Allah Akbar,People
19,Anna,Anna,People
20,Anne,Anne,People
21,Api,Api,People
22,Apple,Apple,Food and Drink
23,Asterix,Asterix,Animal
24,Auntie,Aunt,People
25,Aurora,Aurora,Outside Things
26,Avocado,Avocado,Food and Drink
27,Ayay,Ayay,People
28,Ba,Ba,Food and Drink
29,Baba,Baba,N/A
30,Baboom,Baboom,Sound Effects
31,Baby,Baby,People
32,Bad Dog,Bad Dog,Phrase
33,Badger,Badger,Animal
34,Bah,Bah,Sound Effects
35,Ball,Ball,Toy
36,Balloon,Balloon,Toy
37,Banana,Banana,Food and Drink
38,Bandit,Bandit,Animal
39,Bang,Bang,Sound Effects
40,Barney,Barney,Animal
41,Bastard,Bastard,N/A
42,Bate,Bate,N/A
43,Bates,Bates,Animal
44,Bath,Bath,Games and Routines
45,Bathroom,Bathroom,Furniture and Rooms
46,Batman,Batman,People
47,Bay,Bay,People
48,Bear,Bear,Animal
49,Bebe,Bebe,N/A
50,Bed,Bed,Furniture and Rooms
51,Bee,Bee,Animal
52,Beer,Beer,Food and Drink
53,Bekah,Bekah,People
54,Bide,Bide,People
55,Bike,Bike,Toy
56,Bil,Bil,N/A
57,Bink,Binky,Toy
58,Bird,Bird,Animal
59,Bitch,Bitch,N/A
60,Bite,Bite,Action
61,Bj,Bj,People
62,Blanket,Blanket,Small Household Objects
63,Block,Block,Toy
64,Blue,Blue,Descriptive
65,Bob,Bob,People
66,Boba,Boba,N/A
67,BoBo,BoBo,Animal
68,Bones,Bones,Animal
69,Boo,Boo,Sound Effect
70,BooBoo,Boo Boo,Sound Effects
71,Boobie,Boob,Body Parts
72,Booba,Booba,Toy
73,Booboo,Booboo,Animal
74,Book,Book,Toy
75,Boom,Boom,Sound Effects
76,Bot,Bottle,Food and Drink
77,Bow,Bow,Sound Effect
78,Bow Wow,Bow Wow,Animal
79,Bowers,Bowers,N/A
80,Bow,Bowl,Small Household Objects
81,Bread,Bread,Food and Drink
82,Bubby,Brother,People
83,BAba,Brown bear,Phrase
84,Brr,Brr,Sound Effect
85,Bu-Da,Bu-Da,N/A
86,Buba,Buba,N/A
87,Bubba,Bubba,N/A
88,Bubble,Bubble,Toy
89,Buby,Buby,People
90,Buddy,Buddy,Animal
91,Bug,Bug,Animal
92,Buhbuh,Buhbuh,N/A
93,Bunger,Bunger,N/A
94,Bunny,Bunny,Animal
95,Bup,Bup,N/A
96,Bus,Bus,Vehicles
97,Buttons,Buttons,Clothing
98,Buzz,Buzz,Sound Effects
99,ByeBye,Bye,Games and Routines
100,Ca,Ca,N/A
101,Cali,Cali,Animal
102,Cameron,Cameron,People
103,Can I Have,Can I Have,Phrase
104,Candy,Candy,Food and Drink
105,Auto,Car,Vehicles
106,Cat,Cat,Animal
107,Catch,Catch,Action
108,Caw Cream,Caw Cream,Food and Drink
109,Ceecee,Ceecee,People
110,Cereal,Cereal,Food and Drink
111,Cheers,Cheers,Games and Routines
112,Cheese,Cheese,Food and Drink
113,Chi Chin,Chi Chin,People
114,Chicken,Chicken,Food and Drink
115,Chipotle,Chipotle,Food and Drink
116,Choc,Chocolate,Food and Drink
117,Choo,Choo,Animal
118,Choo Choo,Choo Choo,Toy
119,Clock,Clock,Small Household Objects
120,Coke,Coke,Food and Drink
121,Come,Come,Action
122,Cook,Cook,Action
123,Cookie,Cookie,Food and Drink
124,Orrie,Corrie,People
125,Cow,Cow,Animal
126,Cra,Cra,N/A
127,Cracker,Cracker,Food and Drink
128,Craaa,Crash,Sound Effects
129,Crib,Crib,Furniture and Rooms
130,Cup,Cup,Small Household Objects
131,Dab,Dab,Sound Effects
132,Dada,Dada,People
133,Dada money,Dada Money,Phrase
134,Dah,Dah,Animal
135,Daisy,Daisy,Outside Things
136,Dat,Dat,N/A
137,David,David,People
138,Day,Day,Sound Effects
139,Dede,Dede,Animal
140,Dee,Dee,N/A
141,Deedee,Deedee,Animal
142,Deng Deng,Deng Deng,N/A
143,Derek,Derek,People
144,Dessert,Dessert,Food and Drink
145,Dhudhu,Dhudhu,N/A
146,Diaper,Diaper,Clothing
147,Didi,Didi,N/A
148,Nini,Dinner,Games and Routines
149,Dirty,Dirty,Descriptive
150,Dj,Dj,People
151,Do0Ie,Do0le,N/A
152,Doctor,Doctor,People
153,Dodgers,Dodgers,N/A
154,Doe Doe,Doe Doe,Toy
155,Dog,Dog,Animal
156,Dominic,Dominic,People
157,DooGee,Doo Gee,Animal
158,Doodhoo,Doodhoo,N/A
159,Dora,Dora,Toy
160,Doughnut,Doughnut,Food and Drink
161,Dow,Dow,N/A
162,Down,Down,Action
163,Drake,Drake,People
164,Dink,Drink,Food and Drink
165,Duck,Duck,Animal
166,Duh,Duh,N/A
167,Duhduh,Duhduh,Sound Effects
168,Eat,Eat,Action
169,Eddy,Eddy,People
170,Eggs,Egg,Food and Drink
171,Elephant,Elephant,Animal
172,Elijah,Elijah,People
173,Ella,Ella,People
174,Elmo,Elmo,Animal
175,Emma,Emma,People
176,ka (although there was a lot of variability),Encore,Games and Routines
177,Erge,Erge,N/A
178,Fafa,Fafa,N/A
179,Fala,Fala,N/A
180,Fig,Fig,Animal
181,Fish,Fish,Animal
182,Flower,Flower,Outside Things
183,Foo,Foo,N/A
184,Nomnom,Food,Food and Drink
185,Fuck,Fuck,N/A
186,Ga Ga,Ga Ga,Sound Effect
187,Gaba,Gaba,People
188,Gaga,Gaga,Sound Effects
189,Game,Game,Toy
190,Gamma,Gamma,N/A
191,Garbage,Garbage,Small Household Objects
192,Gat Gat,Gat Gat,Animal
193,Geeee,Gee,Sound Effects
194,George,George,Animal
195,Petto,Gepetto,People
196,Get,Get,N/A
197,Getty,Getty,N/A
198,Gg,Gg,N/A
199,Giants,Giants,N/A
200,Giggsy,Giggsy,Animal
201,Gigi,Gigi,N/A
202,Gimme,Gimme,Action
203,Raff,Giraffe,Animal
204,Glade,Glade,People
205,Go,Go,Action
206,Go Gog,Go Dog,Phrase
207,Goal,Goal,Games and Routines
208,God,God,People
209,Goggy,Goggy,Animal
210,Gong,Gong,N/A
211,Good,Good,Descriptive
212,Good Boo,Good Boo,Phrase
213,Got,Got,N/A
214,GoTo,GoTo,Phrase
215,Baba,Grandma,People
216,Grandma See The Moon,Grandma See The Moon,Phrase
217,Poppy,Grandpa,People
218,Grandpa Grandma Hungry,Grandpa Grandma Hungry,Phrase
219,Gabbie,Gravy,Food and Drink
220,Gu-Gu,Gu-Gu,N/A
221,Gung Gung,Gung Gung,N/A
222,Ha-Yah,Ha-Yah,Sound Effects
